SPILLNO-------,S,OWNCO--------------------,OWNSTREET-----------,OWNCITY-------------,OS,OZIP,TY,DIDATE----,SPLOC     -------------------------,SPCITY-------------------,SPCOUN-------------------,MATERIAL----------------------,SFM_ID--,FAC_NAME-----------------
AP8536,5,SCHOOL DISTRICT OF SEWARD,410 SOUTH ST,SEWARD,NE,68434,14,1995-08-10,532 NORTHERN HEIGHTS DR,SEWARD,SEWARD,HEATING OIL,8536,SEWARD SENIOR HIGH
AP8541,5,MARY LANNING HOSPITAL,715 N ST JOSEPH,HASTINGS,NE,68901,14,1998-10-13,715 N ST JOSEPH,HASTINGS,ADAMS,DIESEL,8541,MARY LANNING HOSPITAL
AP8564,5,SCHOOL DIST GRAND ISLAND,615 N ELM,GRAND ISLAND,NE,68801,14,1992-07-20,502 W 9TH,GRAND ISLAND,HALL,HEATING OIL,8564,HOWARD ELEMENTARY
AP8572,5,OMAHA PUBLIC SCHOOLS,4041 N 72ND ST,OMAHA,NE,68134,14,2000-06-05,4519 S 24TH ST,OMAHA,DOUGLAS,HEATING OIL,8572,OMAHA SOUTH HIGH SCHOOL
AP8621,5,LINCOLN PUBLIC SCHOOLS,5901 O ST,LINCOLN,NE,68510,14,2002-06-19,2930 S 37TH ST,LINCOLN,LANCASTER,HEATING OIL,8621,LINCOLN SOUTHEAST HIGH
AP8623,5,LINCOLN PUBLIC SCHOOLS,5601 O ST,LINCOLN,NE,68510,14,2002-03-28,5130 COLFAX AVE,LINCOLN,LANCASTER,HEATING OIL,8623,DAWES MIDDLE SCHOOL
AP8630,5,LINCOLN PUBLIC SCHOOLS,5901 O ST,LINCOLN,NE,68510,14,1994-08-05,5300 WEST KNIGHT,LINCOLN,LANCASTER,DIESEL,8630,ARNOLD ELEMENTARY
AP8631,5,LINCOLN PUBLIC SCHOOLS,5901 O,LINCOLN,NE,68501,14,1994-08-24,1901 CALVERT; BEATTIE SCHOOL,LINCOLN,LANCASTER,DIESEL,8631,BEATTIE SCHOOL
AP8632,5,LINCOLN PUBLIC SCHOOLS,5901 O ST,LINCOLN,NE,68510,14,1998-01-19,3425 N 14TH ST,LINCOLN,LANCASTER,HEATING OIL,8632,BELMONT ELEMENTARY SCHOOL
AP8633,5,LINCOLN PUBLIC SCHOOLS,5901 O ST,LINCOLN,NE,68510,14,1998-01-15,6000 AYLESWORTH,LINCOLN,LANCASTER,DIESEL,8633,BROWNELL ELEMENTARY
