SPILLNO-------,S,OWNCO--------------------,OWNSTREET-----------,OWNCITY-------------,OS,OZIP,TY,DIDATE----,SPLOC     -------------------------,SPCITY-------------------,SPCOUN-------------------,MATERIAL----------------------,SFM_ID--,FAC_NAME-----------------
AP0055,5,ALLEN SCHUKEI FARM,3015 PARK LAND DR,HASTINGS,NE,68901,7,1992-02-07,RR 1 BOX 18M,ROSELAND,ADAMS,DIESEL,55,ALLEN SCHUKEI
AP0058,5,BOMGAARS,323 WATER ST,SIOUX CITY,IA,51103,7,2002-07-17,52285 W HWY 275,NELIGH,ANTELOPE,GASOLINE,58,BOMGAARS OF NELIGH
AP0065,5,US FOREST SERVICE,,CHADRON,NE,69337,7,1990-10-14,WORK CENTER 3 MI S OF CHADRON,CHADRON,DAWES,GAS,65,NE NATL FOREST WORK CTR
AP0066,5,USDA FOREST SERVICE,125 N MAIN ST,CHADRON,NE,69337,7,1999-08-19,HALSEY NAT'L FOREST,HALSEY,THOMAS,GASOLINE,66,BESSEY ADMINI SITE
AP0068,5,GOFF FARM,RR1 BOX 67C,LINWOOD,NE,68036,7,1993-12-20,RR1 BOX 67C,LINWOOD,BUTLER,DIESEL,68,GOFF FARM
AP0071,5,MID-AMERICA DAIRYMEN,7100 AMANDA RD,LINCOLN,NE,,14,1989-07-21,7100 AMANDA RD,LINCOLN,LANCASTER,HEATING OIL,71,MID-AMERICA DAIRYMEN
AP0075,5,DUTCH & DALE GAS COMPANY,100 MAIN ST,WILSONVILLE,NE,69046,7,1988-11-19,100 MAIN ST,WILSONVILLE,FURNAS,GASOLINE,75,DUTCH & DALE GAS CO
AP0082,5,C J MC INTOSH ESTATE,PO BOX 428,AFTON,WY,83110,7,1988-06-08,4TH & EDDY,GRAND ISLAND,HALL,GASOLINE AND DIESEL,82,RANDY'S AUTO SALES
AP0085,5,WILLIAM HARVEY CO,4350 LAFAYETTE AVE,OMAHA,NE,68117,7,1992-01-31,4350 LAFAYETTE AVE,OMAHA,DOUGLAS,SULFABASE 150,85,WILLIAM HARVEY CO
AP0101,5,THUMMELS GENERAL STORE,232 MAIN,OTOE,NE,68417,7,1990-11-19,232 MAIN,OTOE,OTOE,USED OIL,101,THUMMELS GENERAL STORE
AP0108,5,CITY OF WAYNE,306 PEARL ST,WAYNE,NE,68787,7,1991-10-01,220 S MAIN ST,WAYNE,WAYNE,GAS & DIESEL,108,CITY OF WAYNE
AP0109,5,DRAKE OIL COMPANY,1300 E H ST APT 6,MCCOOK,NE,69001,7,1990-01-09,323 B ST,MC COOK,RED WILLOW,GASOLINE,109,DRAKE OIL
AP0112,5,LUNDEEN FARMS INC,RR 1 BOX 20,AXTELL,NE,68924,7,1990-12-04,RR 1 BOX 20,AXTELL,KEARNEY,DIESEL,112,LUNDEEN FARMS INC
AP0118,5,FREMONT FARMER UNION COOP,209 E JACKSON ST,FREMONT,NE,68025,7,1988-12-06,350 S MAIN ST,FREMONT,DODGE,"GASOLINE, DIESEL, KEROSENE",118,FREMONT FARMERS UNION
AP0120,5,MILTONS STORE,RR 1 BOX 28,MILLER,NE,68858,7,1989-03-31,RR 1 BOX 28,MILLER,BUFFALO,UNKNOWN,120,MILTONS STORE
AP0129,5,COOKS READY MIX INC,EAST HWY 6,IMPERIAL,NE,69033,7,1988-12-10,EAST HWY 6,IMPERIAL,CHASE,DIESEL & GASOLINE,129,COOKS READY MIX INC
AP0133,5,ELKHORN VALLEY COOP,PO BOX 466,HOOPER,NE,68031,7,1994-09-09,301 E CEDAR,NICKERSON,DODGE,GASOLINE,133,ELKHORN VALLEY COOP
AP0134,5,FARMERS GRAIN & SUPPLY,PO BOX 86,ELBA,NE,68835,7,1987-06-09,MARKET ST,ELBA,HOWARD,GASOLINE,134,FARMERS GRAIN & SUPPLY
AP0138,5,GRAND ISLAND BOTTLING CO.,1617 HOLLAND DR,GRAND ISLAND,NE,68801,7,1990-07-17,1617 HOLLAND DR,GRAND ISLAND,HALL,GAS & DIESEL,138,GRAND ISLAND BOTTLING CO.
AP0139,5,BECKER TRANSPORT,1501 BURLINGTON AVE,HASTINGS,NE,68901,7,1992-09-12,1501 S BURLINGTON AVE,HASTINGS,ADAMS,,139,BECKER TRANSPORT
AP0156,5,UPS,2535 GOMEZ AVE,OMAHA,NE,68107,7,1992-09-03,"1600 W G"" ST""",HASTINGS,ADAMS,GASOLINE & WASTE OIL,156,UPS - HASTINGS
AP0158,5,ROBERT M TRAUSCH,RR 1 BOX 50,JUNIATA,NE,68955,7,1989-09-20,RR 1 BOX 50,JUNIATA,ADAMS,GASOLINE,158,ROBERT M TRAUSCH
AP0248,5,CITY OF OMAHA,6880 Q ST,OMAHA,NE,68117,7,1994-04-10,15705 HARLAN LEWIS DR,LA PLATTE,SARPY,DIESEL,248,CITY OF OMAHA
AP0278,5,CITY OF OMAHA,2606 LAKE ST,OMAHA,NE,68111,7,1997-11-20,505 S 15TH ST,OMAHA,DOUGLAS,DIESEL,278,POLIC STATION
AP0279,5,CITY OF OMAHA,2606 N 26TH ST,OMAHA,NE,68111,7,1989-12-05,48TH & AMES,OMAHA,DOUGLAS,GASOLINE,279,FORMER FIRE STATION
AP0282,5,CITY OF OMAHA,2608 LAKE ST,OMAHA,NE,68111,7,1989-10-26,13605 MILLARD AVE,OMAHA,DOUGLAS,DIESEL,282,POLICE ASSEMBLY BLDG
AP0283,5,CITY OF OMAHA,2606 N 26TH ST,OMAHA,NE,68111,7,1989-10-31,42ND & VALLEY (NW CRNR),OMAHA,DOUGLAS,GAS,283,FIRE STA & POLICE GARAGE
AP0296,5,CITY OF OMAHA,2608 LAKE ST,OMAHA,NE,68111,14,1990-11-14,215 S 15TH ST,OMAHA,DOUGLAS,FUEL OIL,296,W DALE CLARK MAIN LIBR
AP0298,5,CITY OF OMAHA,2606 N 26TH ST,OMAHA,NE,68111,7,1989-11-14,1515 NORTH 6TH ST,OMAHA,DOUGLAS,DIESEL,298,CITY OF OMAHA
AP0311,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1993-05-03,CHARLIE 02,HARRISBURG,BANNER,DIESEL,311,CHARLIE 02
AP0312,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1992-07-29,FOXTROT 06,DIX,CHEYENNE,DIESEL,312,FOXTROT 06
AP0313,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1992-07-23,FOXTROT 04,POTTER,CHEYENNE,DIESEL,313,FOXTROT 04
AP0314,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1992-07-10,FOXTROT 02,DIX,BANNER,DIESEL,314,FOXTROT 02
AP0315,5,FE WARREN AFB,90 SG/CEL - BLDG 240,CHEYENNE,WY,82001,7,1992-07-17,FOXTROT 03,DIX,CHEYENNE,DIESEL,315,FOXTROT 03
AP0316,5,FE WARREN AFB,90 SG/CEL - BLDG 240,CHEYENNE,WY,82001,7,1992-07-03,FOXTROT 11,KIMBALL,BANNER,DIESEL,316,FOXTROT 11
AP0317,5,FE WARREN AFB,90 SG/CEL - BLDG 240,CHEYENNE,WY,82001,7,1992-06-30,FOXTROT 10,KIMBALL,KIMBALL,DIESEL,317,FOXTROT 10
AP0318,5,FE WARREN AFB,90 SG/CEL - BLDG 240,CHEYENNE,WY,82001,7,1992-06-24,FOXTROT 09,KIMBALL,KIMBALL,DIESEL,318,FOXTROT 09
AP0319,5,FE WARREN AFB,90 SG/CEL - BLDG 240,CHEYENNE,WY,82001,7,1992-06-05,FOXTROT 08,DIX,KIMBALL,DIESEL,319,FOXTROT 08
AP0320,5,F E WARREN AFB,90 SG/CEL - BLDG 240,CHEYENNE,WY,82001,7,1992-08-07,FOXTROT 07,POTTER,CHEYENNE,DIESEL,320,FOXTROT  07
AP0322,5,FE WARREN AFB,90 SG/CEL - BLDG 240,CHEYENNE,WY,82001,7,1992-04-21,ECHO 02,KIMBALL,KIMBALL,DIESEL,322,ECHO 02
AP0323,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1995-11-29,DELTA 11,HARRISBURG,BANNER,DIESEL,323,LAUNCH FACILITY DELTA 11
AP0325,5,FE WARREN AFB,90 SG/CEL - BLDG 240,CHEYENNE,WY,82001,7,1992-09-04,HOTEL 07,LODGEPOLE,CHEYENNE,DIESEL,325,HOTEL 07
AP0326,5,FE WARREN AFB,90 SG/CEL - BLDG 240,CHEYENNE,WY,82001,7,1992-08-27,HOTEL 06,LODGEPOLE,CHEYENNE,DIESEL,326,HOTEL 06
AP0327,5,FE WARREN AFB,90 SG/CEL - BLDG 240,CHEYENNE,WY,82001,7,1992-09-11,HOTEL 03,LODGEPOLE,CHEYENNE,DIESEL,327,HOTEL 05
AP0328,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1993-06-23,CHARLIE 03,BAYARD,BANNER,DIESEL,328,CHARLIE 03
AP0330,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82001,7,1993-05-14,CHARLIE 09,HARRISBURG,BANNER,DIESEL,330,CHARLIE 09
AP0331,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1993-05-10,CHARLIE 08,HARRISBURG,BANNER,DIESEL,331,CHARLIE 08
AP0332,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1995-11-15,DELTA 09,BUSHNELL,KIMBALL,DIESEL,332,LAUNCH FACILITY DELTA 9
AP0334,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1995-11-01,DELTA 07,BUSHNELL,KIMBALL,DIESEL,334,LAUNCH FACILITY DELTA 7
AP0335,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1995-12-20,DELTA 06,KIMBALL,KIMBALL,DIESEL,335,FE WARREN AFB
AP0336,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1995-12-20,DELTA 05,KIMBALL,KIMBALL,DIESEL,336,LAUNCH FACILITY DELTA 5
AP0337,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1995-12-13,DELTA 04,KIMBALL,KIMBALL,DIESEL,337,LAUNCH FACILITY DELTA 4
AP0338,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1995-12-13,DELTA 03,HARRISBURG,BANNER,DIESEL,338,LAUNCH FACILITY DELA 4
AP0339,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1995-12-06,DELTA 02,HARRISBURG,BANNER,DIESEL,339,LAUNCH FACILITY DELTA 2
AP0341,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1993-07-29,LAUNCH FACILITY DELTA 01,BUSHNELL,KIMBALL,DIESEL,341,DELTA 01
AP0348,5,FE WARREN AFB,90 SG/CEL - BLDG 240,CHEYENNE,WY,82001,7,1992-11-05,GOLF 01,BROWNSON,CHEYENNE,DIESEL,348,GOLF 01
AP0350,5,FE WARREN AFB,90 SG/CEL - BLDG 240,CHEYENNE,WY,82001,7,1992-04-27,ECHO 03,BUSHNELL,KIMBALL,DIESEL,350,ECHO 03
AP0351,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1993-04-19,KILO 09,BUSHNELL,KIMBALL,DIESEL,351,KILO 09
AP0352,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1993-04-26,KILO 10,BUSHNELL,KIMBALL,DIESEL,352,LAUNCH FACILITY KILO 10
AP0353,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1992-10-14,KILO 11,DIX,KIMBALL,DIESEL,353,KILO 11
AP0354,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1993-04-08,11 MI S 2 W JCT I-80 & HWY 71,KIMBALL,KIMBALL,DIESEL,354,KILO 07
AP0355,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1993-12-02,KILO 08,KIMBALL,KIMBALL,DIESEL,355,KILO 08
AP0356,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1992-10-23,KILO 02,DIX,KIMBALL,DIESEL,356,KILO 02
AP0357,5,FE WARREN AFB,90 SG/CEL - BLDG 240,CHEYENNE,WY,82005,7,1992-10-29,KILO 03,POTTER,CHEYENNE,DIESEL,357,KILO 03
AP0358,5,FE WARREN AFB,90 SG/CEL - BLDG 240,CHEYENNE,WY,82005,7,1992-11-05,KILO 04,POTTER,KIMBALL,DIESEL,358,KILO 04
AP0359,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1992-11-12,KILO 05,DIX,KIMBALL,DIESEL,359,KILO 05
AP0360,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1992-11-13,KILO 06,DIX,KIMBALL,DIESEL,360,KILO 06
AP0361,5,FE WARREN AFB,90 SG/CEL - BLDG 240,CHEYENNE,WY,82001,7,1992-08-04,FOXTROT 05,POTTER,CHEYENNE,DIESEL,361,FOXTROT 05
AP0362,5,WARREN AFB,90 CONTRACTING SQUAD,CHEYENNE,WY,82005,7,1996-10-17,INDIA 11,SIDNEY,CHEYENNE,DIESEL,362,INDIA-11
AP0365,5,FE WARREN AFB,90 SG/CEL - BLDG 240,CHEYENNE,WY,82001,7,1992-11-12,JULIET 10,POTTER,CHEYENNE,DIESEL,365,JULIET 10
AP0367,5,FE WARREN AFB,90 SG/CEL - BLDG 240,CHEYENNE,WY,62001,7,1992-08-18,HOTEL 03,GURLEY,CHEYENNE,DIESEL,367,HOTEL 03
AP0368,5,F E WARREN AFB,90 SG/CEL - BLDG 240,CHEYENNE,WY,82001,7,1992-08-12,HOTEL 02,GURLEY,CHEYENNE,DIESEL,368,HOTEL 02
AP0369,5,FE WARREN AFB,90 CONTRACTING SQUAD,CHEYENNE,WY,82005,7,1996-11-06,SE SE SEC 14 516N R51W,DALTON,CHEYENNE,DIESEL,369,LF GOLF 11
AP0370,5,FE WARREN A F B,90 CONTRACTING SQUAD,CHEYENNE,WY,82005,7,1996-11-05,GOLF 10,BROWNSON,CHEYENNE,DIESEL,370,GOLF 10
AP0371,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1997-06-05,LAUNCH FACILITY GOLF 09,POTTER,CHEYENNE,DIESEL,371,GOLF 09
AP0372,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1997-05-29,LAUNCH FACILITY GOLF 08,SIDNEY,CHEYENNE,DIESEL,372,LAUNCH FACILITY GOLF 8
AP0373,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1997-05-21,LAUNCH FACILITY GOLF 07,SIDNEY,CHEYENNE,DIESEL,373,LAUNCH FACILITY GOLF 07
AP0374,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1997-05-15,LAUNCH FACILITY GOLF 06,SIDNEY,CHEYENNE,DIESEL,374,LAUNCH FACILITY GOLF 06
AP0375,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1997-06-04,LAUNCH FACILITY GOLF 05,SIDNEY,CHEYENNE,DIESEL,375,LAUNCH FACILITY GOLF 05
AP0376,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1997-06-18,LAUNCH FACILITY GOLF 04,GURLEY,CHEYENNE,DIESEL,376,LAUNCH FACILITY GOLF 04
AP0377,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1992-05-01,ECHO 04,BUSHNELL,KIMBALL,DIESEL,377,ECHO 04
AP0378,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1992-05-07,ECHO 05,BUSHNELL,KIMBALL,DIESEL,378,ECHO 05
AP0383,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,4,1997-05-08,LAUNCH FACILITY INDIA 2,LODGEPOLE,CHEYENNE,DIESEL,383,LAUNCH FACILITY INDIA 2
AP0384,5,WARREN AFB,90 CONTRACTING SQUAD,CHEYENNE,WY,82005,7,1996-09-12,INDIA 3,LODGEPOLE,CHEYENNE,DIESEL,384,INDIA-3
AP0385,5,WARREN AFB,90 CONTRACTING SQUAD,CHEYENNE,WY,82005,7,1996-09-11,INDIA 4,LODGEPOLE,CHEYENNE,DIESEL,385,INDIA-4
AP0386,5,WARREN AFB,90 CONTRACTING SQUAD,CHEYENNE,WY,82005,7,1996-09-01,INDIA 5,LODGEPOLE,CHEYENNE,DIESEL,386,INDIA-5
AP0387,5,FE WARREN A F B,90 CONTRACTING SQUAD,CHEYENNE,WY,82005,7,1996-11-06,GOLF 2,GURLEY,CHEYENNE,DIESEL,387,GOLF 2
AP0388,5,FE WARREN AIR FORCE BASE,90 CSG/DEEV,CHEYENNE,WY,82005,7,1997-07-24,GOLF 03,GURLEY,CHEYENNE,GASOLINE & DIESEL,388,GOLF 03
AP0391,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1993-07-12,CHARLIE 07,HARRISBURG,BANNER,DIESEL,391,CHARLIE 07
AP0392,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1993-07-19,CHARLIE 06,HARRISBURG,BANNER,DIESEL,392,CHARLIE 06
AP0393,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1993-07-07,CHARLIE 05,HARRISBURG,BANNER,DIESEL,393,CHARLIE 05
AP0394,5,FE WARREN AFB,90 CSG/DEEV,CHEYENNE,WY,82005,7,1993-06-25,CHARLIE 04,HARRISBURG,BANNER,DIESEL,394,CHARLIE 04
AP0410,5,BOSSELMAN INC,NO BOX 1567,GRAND ISLAND,NE,68802,7,2000-02-08,3355 STOLLEY PARK RD,GRAND ISLAND,HALL,"GASOLINE, DIESEL",410,PUMP & PANTRY #6
AP0415,5,BOSSELMAN INC,NO BOX 1567,GRAND ISLAND,NE,68801,7,1999-11-22,704 W 2ND ST,GRAND ISLAND,HALL,"GASOLINE, DIESEL",415,PUMP & PANTRY #11
AP0416,5,"BOSSELMAN, INC",PO BOX 1567,GRAND ISLAND,NE,68801,7,2000-01-13,939 S LOCUST ST,GRAND ISLAND,HALL,"GASOLINE, DIESEL",416,PUMP & PANTRY #12
AP0433,5,K-MART CORP,23008 W HIGGINS RD,HOFFMAN ESTATES,IL,60195,7,1990-09-21,12303 W CENTER RD,OMAHA,DOUGLAS,WASTE OIL,433,K-MART CORP
AP0434,5,K MART CORPORATION,703 S IND BLVD,EULESS,TX,,7,1990-08-21,4601 VINE ST,LINCOLN,LANCASTER,WASTE OIL,434,K MART
AP0435,5,K-MART CORPORATION,23008 W HIGGINS RD,HOFFMAN ESTATES,IL,60195,7,1990-09-20,7100 AMES AVE,OMAHA,DOUGLAS,WASTE OIL,435,K-MART #4126
AP0445,5,K-MART CORPORATAION,703 S INDUSTRIAL BLV,EULESS,TX,76040,7,1990-08-24,2900 W 24TH ST,KEARNEY,BUFFALO,WASTE OIL,445,K-MART #9023
AP0446,5,K-MART CORPORATION,7100 NW PRAIRIE VIEW,KANSAS CITY,MO,64151,7,1990-08-08,301 W EUGENE AVE,NORTH PLATTE,LINCOLN,WASTE OIL,446,K-MART #9025
AP0454,5,COMTEMPORARY IND PETROL,711 N 108 ST,OMAHA,NE,68154,7,1990-11-01,4108 DODGE ST,OMAHA,DOUGLAS,WASTE OIL,454,2016-07-11
AP0496,5,AMOCO OIL CO,8700 INDIAN CRK PKWY,OVERLAND PARK,KS,66210,7,1990-11-26,7202 F ST,OMAHA,DOUGLAS,DIESEL & WASTE OIL,496,AMOCO STATION #5689
AP0500,5,AMOCO,8700 INDIAN CREEK,OVERLAND PARK,KS,,7,1990-12-05,1010 FT CROOK RD,BELLEVUE,SARPY,WASTE OIL,500,AMOCO OIL COMPANY
AP0529,5,BURLINGTON NORTHERN RR,373 INVERNES DR SOUT,ENGLEWOOD,CO,80117,7,1989-07-19,3RD & PINE,CRAWFORD,DAWES,GASOLINE,529,BURLINGTON NORTHERN RR
AP0540,5,KPNE-TV CH9,PO BOX 83111,LINCOLN,NE,68501,14,1999-01-12,11 MI SOUTH OF SUTHERLAND,SUTHERLAND,LINCOLN,#2 DIESEL,540,KPNE-TV CH9
AP0541,5,NEBR ED TELECOM COMM,PO BOX 83111,LINCOLN,NE,68501,7,1995-04-17,17 MI S HWY 183,BASSETT,ROCK,DIESEL,541,KMNE TV STATION
AP0542,5,NEBR ETV COMMISSION,PO BOX 83111,LINCOLN,NE,68501,14,1995-07-11,4 MI W (OR E) OF ANGORA,ANGORA,MORRILL,HEATING OIL,542,KTNE TV TRANSMITTER
AP0543,5,NEBR EDU TELE COMM,PO BOX 83111,LINCOLN,NE,68501,7,2001-12-11,"18 MI S ON HWY 61, E SIDE",MERRIMAN,CHERRY,DIESEL,543,KRNE TRANSMITTER SITE
AP0546,5,NEBR EDUCATIONAL TELE COM,PO BOX 83111,LINCOLN,NE,68501,7,2001-10-16,3 1/2 MILES EAST OF GILTNER,GILTNER,HAMILTON,DIESEL FOR GERERATOR,546,KHNE TV CH 29
AP0551,5,CORNHUSKER PETROLEUM,6215 GROVER ST,OMAHA,NE,68114,7,1986-06-09,7931 DODGE ST,OMAHA,DOUGLAS,,551,FREEWAY
AP0573,5,OMAHA PUBLIC POWER DIST,444 SO 16TH ST,OMAHA,NE,68102,14,1992-10-15,477 5TH ST,SYRACUSE,OTOE,HEATING OIL,573,OPPD
AP0576,5,OMAHA PUBLIC POWER DISTRI,444 S 16TH ST,OMAHA,NE,68102,14,1990-02-27,FT CALHOUN STATION,FORT CALHOUN,WASHINGTON,#2 FUEL OIL,576,FT CALHOUN STATION
AP0579,5,PANHANDLE COOP,501 S. BELTLINE HWY,SCOTTSBLUFF,NE,69361,7,1998-11-25,501 S. BELTLINE HWY W.,SCOTTSBLUFF,SCOTTS BLUFF,WASTE OIL,579,COOP CAR CARE CENTER
AP0585,5,ARNIE'S FORD-MERCURY,119 E 3RD ST,WAYNE,NE,68787,7,1999-05-25,119 E 3RD ST,WAYNE,WAYNE,WASTE OIL,585,ARNIES FORD-MERCURY INC
AP0589,5,FAA,RFD 3  BOX 39,GRAND ISLAND,NE,68801,7,1990-08-10,SCOTTSBLUFF MUNICIPAL AIRPORT,SCOTTSBLUFF,SCOTTS BLUFF,GASOLINE,589,FAA VORTAC - SCOTTSBLUFF
AP0590,5,FAA,RFD 3  BOX 50C,GRAND ISLAND,NE,68801,7,1990-08-09,SIDNEY MUNICIPAL AIRPORT,SIDNEY,CHEYENNE,DIESEL,590,FAA VORTAC - SIDNEY
AP0597,5,FAA VORTAC,O'NEILL AIRPORT,O'NEILL,NE,68763,7,1989-07-20,O'NEILL AIRPORT,O'NEILL,HOLT,GASOLINE,597,FAA VORTAC - O'NEILL
AP0599,5,FAA VORTAC,RFD 3 BOX 39,GRAND ISLAND,NE,68801,7,1990-08-14,FAA VORTAC WOLBACH,WOLBACH,HOWARD,GASOLINE,599,FAA VORTAC - WOLBACH
AP0600,5,FAA,RFD 3 BOX 3,GRAND ISLAND,NE,68801,7,1990-08-15,GRAND ISLAND MUNI AIRPORT,GRAND ISLAND,HALL,GASOLINE,600,FAA VORTAC - GRAND ISLAND
AP0604,5,FAA,,,,,7,1987-06-11,?? W2 SW SEC 35 T11N R09W,GRAND ISLAND,HALL,,604,GRAND ISLAND OUTER MARKER
AP0605,5,FAA,,,,,7,1987-06-11,?? ?? W2 SEC 2 T11N R09W,GRAND ISLAND,HALL,,605,GRAND ISL MIDDLE MARKER
AP0606,5,FAA,,,,,7,1987-06-11,?? ?? NW SEC 02 T11N R09W,GRAND ISLAND,HALL,,606,GRAND ISLAND SSALR
AP0612,5,FAA AFSFO,CONTROL TOWER BLD AP,LINCOLN,NE,68524,7,1989-06-20,RURAL ROUTE,LINCOLN,LANCASTER,DIESEL,612,FAA VORTAC - LINCOLN
AP0618,5,FAA,601 E 12TH ST,KANSAS CITY,MO,64106,7,1992-02-06,EPPLEY AIRFIELD,OMAHA,DOUGLAS,DIESEL,618,FAA VORTAC - OMAHA
AP0624,5,FAA,14015 W 95TH ST,LENEXA,KS,66215,7,1996-04-15,2 MI NORTH 1 MI WEST OF TOWN,WINNEBAGO,THURSTON,DIESEL,624,FAA RCAG SUX
AP0625,5,KWIK SHOP,PO BOX 1927,HUTCHINSON,KS,67504,7,1992-11-09,6505 MAPLE ST,OMAHA,DOUGLAS,GASOLINE,625,KWIK SHOP #601
AP0642,5,KWIK SHOP,PO BOX 1927,HUTCHINSON,KS,67504,7,1995-04-26,2940 N 14TH ST,LINCOLN,LANCASTER,GASOLINE,642,KWIK SHOP #634
AP0652,5,"KWIK SHOP, INC",PO BOX 1927,HUTCHINSON,KS,67504,7,1996-06-19,1403 HARLAN ST,FALLS CITY,RICHARDSON,GASOLINE,652,KWIK SHOP #648
AP0653,5,KWIK SHOP INC,PO BOX 1927,HUTCHINSON,KS,67504,7,1996-06-12,503  S 11TH ST,NEBRASKA CITY,OTOE,GASOLINE,653,KWIK SHOP #649
AP0681,5,PRO OIL,440 ILLINOIS,SIDNEY,NE,69162,7,1997-06-30,13TH & CB&Q,SIDNEY,CHEYENNE,DIESEL,681,PRO OIL BULK PLANT
AP0687,5,SAPP BROS TRUCK STOP INC,P O BOX 37305,OMAHA,NE,68137,7,1996-04-23,101 STAGECOACH RD,OGALLALA,KEITH,GASOLINE,687,SAPP BROS TRUCK STOP INC
AP0688,5,ORPHAN,,,,,7,1989-03-30,517 W 1ST ST,OGALLALA,KEITH,,688,ED SCHMIDT MOTORS
AP0690,5,TEXACO REFINING & MARKET,1437 SOUTH BOULDER,TULSA,OK,74119,7,1996-08-06,3241 PIONEERS BLVD.,LINCOLN,LANCASTER,GASOLINE,690,TEXACO
AP0697,5,TEXACO REFINING & MARKET,1437 S BOULDER,TULSA,OK,74119,7,1992-01-28,5306 N 103RD ST,OMAHA,DOUGLAS,GAS,697,KWIK SHOP #693
AP0704,5,NEBR DEPT OF ROADS,5001 S 14TH ST,LINCOLN,NE,68509,7,1991-05-09,235 IOWA ST,DAVID CITY,BUTLER,GAS & DIESEL,704,NEBR DEPT OF ROADS
AP0708,5,NEBR DEPT OF ROADS,5001 S 14TH ST,LINCOLN,NE,68512,7,1990-09-26,1500 W MAIN ST,CODY,CHERRY,GAS & DIESEL,708,NEBR DEPT OF ROADS
AP0710,5,NEBR DEPT OF ROADS,5001 S 14TH ST,LINCOLN,NE,68512,7,1990-08-30,5001 S 14TH ST,LINCOLN,LANCASTER,GASOLINE,710,NDOR LINCOLN - TK# 80276
AP0712,5,NEBR DEPT OF ROADS,5001 S 14TH ST,LINCOLN,NE,68512,7,1991-06-05,"900 B"" ST""",PAWNEE CITY,PAWNEE,GAS & DIESEL,712,NEBR DEPT OF ROADS
AP0713,5,NE DEPT OF ROADS,5001 SOUTH 14TH ST,LINCOLN,NE,68509,7,1990-06-19,ADAMS,ADAMS,GAGE,GAS,713,NDOR
AP0714,5,NEBRASKA DEPT OF ROADS,5001 S 14TH ST,LINCOLN,NE,68509,7,1987-09-14,14TH & K,FAIRBURY,JEFFERSON,WASTE OIL,714,NDOR - FAIRBURY
AP0716,5,NEBRASKA DEPT OF ROADS,5001 S 14TH ST,LINCOLN,NE,68512,7,1990-11-27,GREENWOOD INTERCHANGE I-80,GREENWOOD,CASS,GAS & DIESEL,716,NDOR - GREENWOOD
AP0717,5,NEBRASKA DEPT OF ROADS,PO BOX 94759,LINCOLN,NE,68509,7,1992-03-12,S HWY 15,SEWARD,SEWARD,GAS & DIESEL,717,NDOR - SEWARD
